id,lang,pecha name,url
IA5DDA400,fr,Fourth Dodrupchen Rinpoche Series,https://github.com/OpenPecha-Data/IA5DDA400
I8DD8A3E1,zh,Fourth Dodrupchen Rinpoche Series,https://github.com/OpenPecha-Data/I8DD8A3E1
IF7F7DFBC,bo,Fourth Dodrupchen Rinpoche Series,https://github.com/OpenPecha-Data/IF7F7DFBC
I65653A8E,en,Fourth Dodrupchen Rinpoche, Jalü Dorje,https://github.com/OpenPecha-Data/I65653A8E
IC0687186,zh,Fourth Dodrupchen Rinpoche, Jalü Dorje,https://github.com/OpenPecha-Data/IC0687186
I36C3B78E,bo,Fourth Dodrupchen Rinpoche, Jalü Dorje,https://github.com/OpenPecha-Data/I36C3B78E
I96EE1DC4,en,Ga Rabjampa Kunga Yeshe,https://github.com/OpenPecha-Data/I96EE1DC4
IC390F41F,bo,Ga Rabjampa Kunga Yeshe,https://github.com/OpenPecha-Data/IC390F41F
IA9DD6B11,en,Gampopa Series,https://github.com/OpenPecha-Data/IA9DD6B11
I471EB96E,pt,Gampopa Series,https://github.com/OpenPecha-Data/I471EB96E
I455C185E,bo,Gampopa Series,https://github.com/OpenPecha-Data/I455C185E
I51BF9BAA,en,Garwang Chökyi Gyaltsen,https://github.com/OpenPecha-Data/I51BF9BAA
IDD9F4474,bo,Garwang Chökyi Gyaltsen,https://github.com/OpenPecha-Data/IDD9F4474
I12BB1F1B,en,Gatön Ngawang Lekpa Series,https://github.com/OpenPecha-Data/I12BB1F1B
IB4D1D137,bo,Gatön Ngawang Lekpa Series,https://github.com/OpenPecha-Data/IB4D1D137
ID4A1D9E9,en,Geshe Chekhawa Yeshe Dorje,https://github.com/OpenPecha-Data/ID4A1D9E9
I61B77F37,pt,Geshe Chekhawa Yeshe Dorje,https://github.com/OpenPecha-Data/I61B77F37
IA3D4FD90,bo,Geshe Chekhawa Yeshe Dorje,https://github.com/OpenPecha-Data/IA3D4FD90
I48FD7877,en,Geshe Langri Thangpa Series,https://github.com/OpenPecha-Data/I48FD7877
IE5247A6B,es,Geshe Langri Thangpa Series,https://github.com/OpenPecha-Data/IE5247A6B
IF8643146,fr,Geshe Langri Thangpa Series,https://github.com/OpenPecha-Data/IF8643146
IF30424F8,pt,Geshe Langri Thangpa Series,https://github.com/OpenPecha-Data/IF30424F8
